Year,State code,Percentage of US states’ job postings in AI,State,Percentage of United States AI job postings,Relative AI hiring rate year-over-year ratio,Date,Relative AI hiring year-over-year ratio,country,Percentage of US states' job postings in AI,year,Country,Number of industrial robots (in thousands),Average investment (in millions of US dollars)
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2014.0,,,,,,,,,,,,,
2015.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2014.0,,,,,,,,,,,,,
2015.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2014.0,,,,,,,,,,,,,
2015.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
2014.0,,,,,,,,,,,,,
2015.0,,,,,,,,,,,,,
2016.0,,,,,,,,,,,,,
2017.0,,,,,,,,,,,,,
2018.0,,,,,,,,,,,,,
2019.0,,,,,,,,,,,,,
2020.0,,,,,,,,,,,,,
2021.0,,,,,,,,,,,,,
2022.0,,,,,,,,,,,,,
2023.0,,,,,,,,,,,,,
2024.0,,,,,,,,,,,,,
,AL,,,,,,,,,,,,
,AK,,,,,,,,,,,,
,AZ,,,,,,,,,,,,
,AR,,,,,,,,,,,,
,CA,,,,,,,,,,,,
,CO,,,,,,,,,,,,
,CT,,,,,,,,,,,,
,DE,,,,,,,,,,,,
,FL,,,,,,,,,,,,
,GA,,,,,,,,,,,,
,HI,,,,,,,,,,,,
,ID,,,,,,,,,,,,
,IL,,,,,,,,,,,,
,IN,,,,,,,,,,,,
,IA,,,,,,,,,,,,
,KS,,,,,,,,,,,,
,KY,,,,,,,,,,,,
,LA,,,,,,,,,,,,
,ME,,,,,,,,,,,,
,MD,,,,,,,,,,,,
,MA,,,,,,,,,,,,
,MI,,,,,,,,,,,,
,MN,,,,,,,,,,,,
,MS,,,,,,,,,,,,
,MO,,,,,,,,,,,,
,MT,,,,,,,,,,,,
,NE,,,,,,,,,,,,
,NV,,,,,,,,,,,,
,NH,,,,,,,,,,,,
,NJ,,,,,,,,,,,,
,NM,,,,,,,,,,,,
,NY,,,,,,,,,,,,
,NC,,,,,,,,,,,,
,ND,,,,,,,,,,,,
,OH,,,,,,,,,,,,
,OK,,,,,,,,,,,,
,OR,,,,,,,,,,,,
,PA,,,,,,,,,,,,
,RI,,,,,,,,,,,,
,SC,,,,,,,,,,,,
,SD,,,,,,,,,,,,
,TN,,,,,,,,,,,,
,TX,,,,,,,,,,,,
,UT,,,,,,,,,,,,
,VT,,,,,,,,,,,,
,VA,,,,,,,,,,,,
,WA,,,,,,,,,,,,
,DC,,,,,,,,,,,,
,WV,,,,,,,,,,,,
,WI,,,,,,,,,,,,
,WY,,,,,,,,,,,,
2010.0,,0.27%,Texas,,,,,,,,,,
2011.0,,0.27%,Texas,,,,,,,,,,
2012.0,,0.31%,Texas,,,,,,,,,,
2013.0,,0.29%,Texas,,,,,,,,,,
2014.0,,0.34%,Texas,,,,,,,,,,
2015.0,,0.40%,Texas,,,,,,,,,,
2016.0,,0.52%,Texas,,,,,,,,,,
2017.0,,0.74%,Texas,,,,,,,,,,
2018.0,,1.01%,Texas,,,,,,,,,,
2019.0,,1.18%,Texas,,,,,,,,,,
2020.0,,1.20%,Texas,,,,,,,,,,
2021.0,,1.44%,Texas,,,,,,,,,,
2022.0,,1.52%,Texas,,,,,,,,,,
2023.0,,1.11%,Texas,,,,,,,,,,
2024.0,,1.86%,Texas,,,,,,,,,,
2010.0,,0.47%,New York,,,,,,,,,,
2011.0,,0.38%,New York,,,,,,,,,,
2012.0,,0.53%,New York,,,,,,,,,,
2013.0,,0.51%,New York,,,,,,,,,,
2014.0,,0.60%,New York,,,,,,,,,,
2015.0,,0.85%,New York,,,,,,,,,,
2016.0,,0.95%,New York,,,,,,,,,,
2017.0,,1.39%,New York,,,,,,,,,,
2018.0,,1.79%,New York,,,,,,,,,,
2019.0,,2.09%,New York,,,,,,,,,,
2020.0,,1.78%,New York,,,,,,,,,,
2021.0,,1.96%,New York,,,,,,,,,,
2022.0,,2.07%,New York,,,,,,,,,,
2023.0,,1.43%,New York,,,,,,,,,,
2024.0,,2.19%,New York,,,,,,,,,,
2010.0,,0.59%,California,,,,,,,,,,
2011.0,,0.68%,California,,,,,,,,,,
2012.0,,0.99%,California,,,,,,,,,,
2013.0,,0.69%,California,,,,,,,,,,
2014.0,,0.80%,California,,,,,,,,,,
2015.0,,1.10%,California,,,,,,,,,,
2016.0,,1.24%,California,,,,,,,,,,
2017.0,,1.63%,California,,,,,,,,,,
2018.0,,2.02%,California,,,,,,,,,,
2019.0,,2.26%,California,,,,,,,,,,
2020.0,,1.94%,California,,,,,,,,,,
2021.0,,2.12%,California,,,,,,,,,,
2022.0,,2.21%,California,,,,,,,,,,
2023.0,,1.60%,California,,,,,,,,,,
2024.0,,2.67%,California,,,,,,,,,,
2010.0,,0.60%,Washington,,,,,,,,,,
2011.0,,0.68%,Washington,,,,,,,,,,
2012.0,,0.87%,Washington,,,,,,,,,,
2013.0,,0.86%,Washington,,,,,,,,,,
2014.0,,0.87%,Washington,,,,,,,,,,
2015.0,,0.99%,Washington,,,,,,,,,,
2016.0,,1.27%,Washington,,,,,,,,,,
2017.0,,1.80%,Washington,,,,,,,,,,
2018.0,,2.18%,Washington,,,,,,,,,,
2019.0,,2.08%,Washington,,,,,,,,,,
2020.0,,2.14%,Washington,,,,,,,,,,
2021.0,,2.03%,Washington,,,,,,,,,,
2022.0,,2.48%,Washington,,,,,,,,,,
2023.0,,1.65%,Washington,,,,,,,,,,
2024.0,,3.27%,Washington,,,,,,,,,,
2010.0,,,Washington,2.03%,,,,,,,,,
2011.0,,,Washington,3.54%,,,,,,,,,
2012.0,,,Washington,4.81%,,,,,,,,,
2013.0,,,Washington,5.25%,,,,,,,,,
2014.0,,,Washington,4.86%,,,,,,,,,
2015.0,,,Washington,4.71%,,,,,,,,,
2016.0,,,Washington,5.20%,,,,,,,,,
2017.0,,,Washington,5.69%,,,,,,,,,
2018.0,,,Washington,4.85%,,,,,,,,,
2019.0,,,Washington,3.96%,,,,,,,,,
2020.0,,,Washington,4.35%,,,,,,,,,
2021.0,,,Washington,3.94%,,,,,,,,,
2022.0,,,Washington,3.93%,,,,,,,,,
2023.0,,,Washington,3.19%,,,,,,,,,
2024.0,,,Washington,4.72%,,,,,,,,,
2010.0,,,New York,3.99%,,,,,,,,,
2011.0,,,New York,4.87%,,,,,,,,,
2012.0,,,New York,6.44%,,,,,,,,,
2013.0,,,New York,7.28%,,,,,,,,,
2014.0,,,New York,7.36%,,,,,,,,,
2015.0,,,New York,8.62%,,,,,,,,,
2016.0,,,New York,7.56%,,,,,,,,,
2017.0,,,New York,8.03%,,,,,,,,,
2018.0,,,New York,7.04%,,,,,,,,,
2019.0,,,New York,7.69%,,,,,,,,,
2020.0,,,New York,6.16%,,,,,,,,,
2021.0,,,New York,6.07%,,,,,,,,,
2022.0,,,New York,5.52%,,,,,,,,,
2023.0,,,New York,5.29%,,,,,,,,,
2024.0,,,New York,5.76%,,,,,,,,,
2010.0,,,Texas,2.69%,,,,,,,,,
2011.0,,,Texas,4.61%,,,,,,,,,
2012.0,,,Texas,4.65%,,,,,,,,,
2013.0,,,Texas,5.35%,,,,,,,,,
2014.0,,,Texas,6.05%,,,,,,,,,
2015.0,,,Texas,5.69%,,,,,,,,,
2016.0,,,Texas,5.75%,,,,,,,,,
2017.0,,,Texas,5.66%,,,,,,,,,
2018.0,,,Texas,6.95%,,,,,,,,,
2019.0,,,Texas,7.62%,,,,,,,,,
2020.0,,,Texas,8.37%,,,,,,,,,
2021.0,,,Texas,8.90%,,,,,,,,,
2022.0,,,Texas,8.37%,,,,,,,,,
2023.0,,,Texas,7.89%,,,,,,,,,
2024.0,,,Texas,8.77%,,,,,,,,,
2010.0,,,California,10.44%,,,,,,,,,
2011.0,,,California,18.62%,,,,,,,,,
2012.0,,,California,26.63%,,,,,,,,,
2013.0,,,California,21.34%,,,,,,,,,
2014.0,,,California,20.69%,,,,,,,,,
2015.0,,,California,23.12%,,,,,,,,,
2016.0,,,California,22.42%,,,,,,,,,
2017.0,,,California,20.56%,,,,,,,,,
2018.0,,,California,22.52%,,,,,,,,,
2019.0,,,California,24.62%,,,,,,,,,
2020.0,,,California,20.88%,,,,,,,,,
2021.0,,,California,19.51%,,,,,,,,,
2022.0,,,California,17.87%,,,,,,,,,
2023.0,,,California,15.31%,,,,,,,,,
2024.0,,,California,15.70%,,,,,,,,,
,,,,,33.39%,,,,,,,,
,,,,,30.83%,,,,,,,,
,,,,,28.71%,,,,,,,,
,,,,,28.21%,,,,,,,,
,,,,,27.31%,,,,,,,,
,,,,,26.98%,,,,,,,,
,,,,,26.39%,,,,,,,,
,,,,,26.13%,,,,,,,,
,,,,,24.97%,,,,,,,,
,,,,,24.88%,,,,,,,,
,,,,,24.73%,,,,,,,,
,,,,,24.58%,,,,,,,,
,,,,,24.24%,,,,,,,,
,,,,,24.02%,,,,,,,,
,,,,,23.60%,,,,,,,,
,,,,,22.34%,,,,,,,,
,,,,,22.18%,,,,,,,,
,,,,,20.83%,,,,,,,,
,,,,,20.47%,,,,,,,,
,,,,,20.36%,,,,,,,,
,,,,,19.78%,,,,,,,,
,,,,,19.67%,,,,,,,,
,,,,,19.12%,,,,,,,,
,,,,,18.43%,,,,,,,,
,,,,,18.22%,,,,,,,,
,,,,,17.61%,,,,,,,,
,,,,,17.40%,,,,,,,,
,,,,,16.78%,,,,,,,,
,,,,,16.61%,,,,,,,,
,,,,,16.24%,,,,,,,,
,,,,,14.52%,,,,,,,,
,,,,,14.28%,,,,,,,,
,,,,,13.78%,,,,,,,,
,,,,,13.33%,,,,,,,,
,,,,,13.22%,,,,,,,,
,,,,,13.21%,,,,,,,,
,,,,,13.05%,,,,,,,,
,,,,,12.73%,,,,,,,,
,,,,,12.20%,,,,,,,,
,,,,,11.29%,,,,,,,,
,,,,,10.53%,,,,,,,,
,,,,,9.15%,,,,,,,,
,,,,,9.10%,,,,,,,,
,,,,,8.57%,,,,,,,,
,,,,,7.62%,,,,,,,,
,,,,,6.86%,,,,,,,,
,,,,,5.75%,,,,,,,,
,,,,,,1/1/18,2.37%,,,,,,
,,,,,,2/1/18,12.24%,,,,,,
,,,,,,3/1/18,40.74%,,,,,,
,,,,,,4/1/18,42.43%,,,,,,
,,,,,,5/1/18,35.12%,,,,,,
,,,,,,6/1/18,28.22%,,,,,,
,,,,,,7/1/18,23.23%,,,,,,
,,,,,,8/1/18,25.21%,,,,,,
,,,,,,9/1/18,27.29%,,,,,,
,,,,,,10/1/18,30.64%,,,,,,
,,,,,,11/1/18,26.86%,,,,,,
,,,,,,12/1/18,28.82%,,,,,,
,,,,,,1/1/19,33.71%,,,,,,
,,,,,,2/1/19,38.52%,,,,,,
,,,,,,3/1/19,33.06%,,,,,,
,,,,,,4/1/19,31.81%,,,,,,
,,,,,,5/1/19,35.05%,,,,,,
,,,,,,6/1/19,43.19%,,,,,,
,,,,,,7/1/19,50.35%,,,,,,
,,,,,,8/1/19,48.13%,,,,,,
,,,,,,9/1/19,48.75%,,,,,,
,,,,,,10/1/19,48.13%,,,,,,
,,,,,,11/1/19,49.68%,,,,,,
,,,,,,12/1/19,46.43%,,,,,,
,,,,,,1/1/20,42.82%,,,,,,
,,,,,,2/1/20,37.22%,,,,,,
,,,,,,3/1/20,36.83%,,,,,,
,,,,,,4/1/20,40.35%,,,,,,
,,,,,,5/1/20,48.28%,,,,,,
,,,,,,6/1/20,43.66%,,,,,,
,,,,,,7/1/20,37.29%,,,,,,
,,,,,,8/1/20,41.13%,,,,,,
,,,,,,9/1/20,40.05%,,,,,,
,,,,,,10/1/20,38.07%,,,,,,
,,,,,,11/1/20,44.92%,,,,,,
,,,,,,12/1/20,48.81%,,,,,,
,,,,,,1/1/21,48.67%,,,,,,
,,,,,,2/1/21,50.75%,,,,,,
,,,,,,3/1/21,50.59%,,,,,,
,,,,,,4/1/21,44.41%,,,,,,
,,,,,,5/1/21,32.31%,,,,,,
,,,,,,6/1/21,31.54%,,,,,,
,,,,,,7/1/21,33.49%,,,,,,
,,,,,,8/1/21,29.56%,,,,,,
,,,,,,9/1/21,26.07%,,,,,,
,,,,,,10/1/21,22.72%,,,,,,
,,,,,,11/1/21,15.69%,,,,,,
,,,,,,12/1/21,10.45%,,,,,,
,,,,,,1/1/22,10.87%,,,,,,
,,,,,,2/1/22,6.82%,,,,,,
,,,,,,3/1/22,4.98%,,,,,,
,,,,,,4/1/22,4.51%,,,,,,
,,,,,,5/1/22,4.62%,,,,,,
,,,,,,6/1/22,1.08%,,,,,,
,,,,,,7/1/22,-1.03%,,,,,,
,,,,,,8/1/22,-3.23%,,,,,,
,,,,,,9/1/22,-2.99%,,,,,,
,,,,,,10/1/22,-3.11%,,,,,,
,,,,,,11/1/22,-3.78%,,,,,,
,,,,,,12/1/22,-2.61%,,,,,,
,,,,,,1/1/23,-5.26%,,,,,,
,,,,,,2/1/23,-4.17%,,,,,,
,,,,,,3/1/23,-6.13%,,,,,,
,,,,,,4/1/23,-6.90%,,,,,,
,,,,,,5/1/23,-7.31%,,,,,,
,,,,,,6/1/23,-6.43%,,,,,,
,,,,,,7/1/23,-7.22%,,,,,,
,,,,,,8/1/23,-4.76%,,,,,,
,,,,,,9/1/23,-5.03%,,,,,,
,,,,,,10/1/23,-1.20%,,,,,,
,,,,,,11/1/23,-0.82%,,,,,,
,,,,,,12/1/23,-1.95%,,,,,,
,,,,,,1/1/24,-0.32%,,,,,,
,,,,,,2/1/24,0.28%,,,,,,
,,,,,,3/1/24,5.93%,,,,,,
,,,,,,4/1/24,9.48%,,,,,,
,,,,,,5/1/24,13.94%,,,,,,
,,,,,,6/1/24,16.99%,,,,,,
,,,,,,7/1/24,20.39%,,,,,,
,,,,,,8/1/24,20.87%,,,,,,
,,,,,,9/1/24,23.27%,,,,,,
,,,,,,10/1/24,21.69%,,,,,,
,,,,,,11/1/24,22.84%,,,,,,
,,,,,,12/1/24,26.39%,,,,,,
,,,,,,1/1/18,20.39%,,,,,,
,,,,,,2/1/18,19.90%,,,,,,
,,,,,,3/1/18,17.53%,,,,,,
,,,,,,4/1/18,16.86%,,,,,,
,,,,,,5/1/18,17.67%,,,,,,
,,,,,,6/1/18,18.50%,,,,,,
,,,,,,7/1/18,18.76%,,,,,,
,,,,,,8/1/18,18.37%,,,,,,
,,,,,,9/1/18,19.01%,,,,,,
,,,,,,10/1/18,17.77%,,,,,,
,,,,,,11/1/18,18.49%,,,,,,
,,,,,,12/1/18,21.97%,,,,,,
,,,,,,1/1/19,22.29%,,,,,,
,,,,,,2/1/19,22.57%,,,,,,
,,,,,,3/1/19,23.33%,,,,,,
,,,,,,4/1/19,23.28%,,,,,,
,,,,,,5/1/19,23.02%,,,,,,
,,,,,,6/1/19,22.83%,,,,,,
,,,,,,7/1/19,23.41%,,,,,,
,,,,,,8/1/19,23.68%,,,,,,
,,,,,,9/1/19,22.85%,,,,,,
,,,,,,10/1/19,24.16%,,,,,,
,,,,,,11/1/19,23.48%,,,,,,
,,,,,,12/1/19,19.39%,,,,,,
,,,,,,1/1/20,18.90%,,,,,,
,,,,,,2/1/20,18.09%,,,,,,
,,,,,,3/1/20,17.39%,,,,,,
,,,,,,4/1/20,18.00%,,,,,,
,,,,,,5/1/20,18.46%,,,,,,
,,,,,,6/1/20,17.24%,,,,,,
,,,,,,7/1/20,15.05%,,,,,,
,,,,,,8/1/20,14.75%,,,,,,
,,,,,,9/1/20,14.52%,,,,,,
,,,,,,10/1/20,13.33%,,,,,,
,,,,,,11/1/20,12.10%,,,,,,
,,,,,,12/1/20,11.69%,,,,,,
,,,,,,1/1/21,10.29%,,,,,,
,,,,,,2/1/21,10.13%,,,,,,
,,,,,,3/1/21,9.13%,,,,,,
,,,,,,4/1/21,7.64%,,,,,,
,,,,,,5/1/21,6.09%,,,,,,
,,,,,,6/1/21,7.65%,,,,,,
,,,,,,7/1/21,9.21%,,,,,,
,,,,,,8/1/21,9.34%,,,,,,
,,,,,,9/1/21,10.50%,,,,,,
,,,,,,10/1/21,11.88%,,,,,,
,,,,,,11/1/21,13.37%,,,,,,
,,,,,,12/1/21,13.61%,,,,,,
,,,,,,1/1/22,14.83%,,,,,,
,,,,,,2/1/22,14.46%,,,,,,
,,,,,,3/1/22,15.21%,,,,,,
,,,,,,4/1/22,16.11%,,,,,,
,,,,,,5/1/22,16.11%,,,,,,
,,,,,,6/1/22,14.26%,,,,,,
,,,,,,7/1/22,11.89%,,,,,,
,,,,,,8/1/22,9.43%,,,,,,
,,,,,,9/1/22,6.69%,,,,,,
,,,,,,10/1/22,3.95%,,,,,,
,,,,,,11/1/22,1.32%,,,,,,
,,,,,,12/1/22,-0.47%,,,,,,
,,,,,,1/1/23,-2.72%,,,,,,
,,,,,,2/1/23,-2.31%,,,,,,
,,,,,,3/1/23,-3.78%,,,,,,
,,,,,,4/1/23,-5.98%,,,,,,
,,,,,,5/1/23,-6.67%,,,,,,
,,,,,,6/1/23,-7.98%,,,,,,
,,,,,,7/1/23,-6.78%,,,,,,
,,,,,,8/1/23,-5.11%,,,,,,
,,,,,,9/1/23,-4.72%,,,,,,
,,,,,,10/1/23,-3.98%,,,,,,
,,,,,,11/1/23,-1.94%,,,,,,
,,,,,,12/1/23,1.02%,,,,,,
,,,,,,1/1/24,2.13%,,,,,,
,,,,,,2/1/24,1.76%,,,,,,
,,,,,,3/1/24,4.12%,,,,,,
,,,,,,4/1/24,6.44%,,,,,,
,,,,,,5/1/24,7.01%,,,,,,
,,,,,,6/1/24,10.63%,,,,,,
,,,,,,7/1/24,11.48%,,,,,,
,,,,,,8/1/24,12.61%,,,,,,
,,,,,,9/1/24,14.43%,,,,,,
,,,,,,10/1/24,16.62%,,,,,,
,,,,,,11/1/24,16.96%,,,,,,
,,,,,,12/1/24,16.78%,,,,,,
,,,,,,1/1/18,29.18%,,,,,,
,,,,,,2/1/18,49.57%,,,,,,
,,,,,,3/1/18,29.00%,,,,,,
,,,,,,4/1/18,20.55%,,,,,,
,,,,,,5/1/18,12.48%,,,,,,
,,,,,,6/1/18,9.00%,,,,,,
,,,,,,7/1/18,9.11%,,,,,,
,,,,,,8/1/18,14.43%,,,,,,
,,,,,,9/1/18,17.95%,,,,,,
,,,,,,10/1/18,19.14%,,,,,,
,,,,,,11/1/18,16.41%,,,,,,
,,,,,,12/1/18,18.14%,,,,,,
,,,,,,1/1/19,16.21%,,,,,,
,,,,,,2/1/19,9.66%,,,,,,
,,,,,,3/1/19,16.11%,,,,,,
,,,,,,4/1/19,16.93%,,,,,,
,,,,,,5/1/19,20.26%,,,,,,
,,,,,,6/1/19,23.51%,,,,,,
,,,,,,7/1/19,28.24%,,,,,,
,,,,,,8/1/19,23.87%,,,,,,
,,,,,,9/1/19,19.81%,,,,,,
,,,,,,10/1/19,16.52%,,,,,,
,,,,,,11/1/19,21.24%,,,,,,
,,,,,,12/1/19,18.80%,,,,,,
,,,,,,1/1/20,18.35%,,,,,,
,,,,,,2/1/20,19.98%,,,,,,
,,,,,,3/1/20,14.70%,,,,,,
,,,,,,4/1/20,18.89%,,,,,,
,,,,,,5/1/20,22.30%,,,,,,
,,,,,,6/1/20,21.34%,,,,,,
,,,,,,7/1/20,14.61%,,,,,,
,,,,,,8/1/20,15.67%,,,,,,
,,,,,,9/1/20,17.76%,,,,,,
,,,,,,10/1/20,22.93%,,,,,,
,,,,,,11/1/20,20.10%,,,,,,
,,,,,,12/1/20,21.11%,,,,,,
,,,,,,1/1/21,23.43%,,,,,,
,,,,,,2/1/21,22.80%,,,,,,
,,,,,,3/1/21,22.10%,,,,,,
,,,,,,4/1/21,17.25%,,,,,,
,,,,,,5/1/21,11.66%,,,,,,
,,,,,,6/1/21,8.88%,,,,,,
,,,,,,7/1/21,10.37%,,,,,,
,,,,,,8/1/21,10.15%,,,,,,
,,,,,,9/1/21,8.46%,,,,,,
,,,,,,10/1/21,3.84%,,,,,,
,,,,,,11/1/21,2.08%,,,,,,
,,,,,,12/1/21,0.96%,,,,,,
,,,,,,1/1/22,-0.57%,,,,,,
,,,,,,2/1/22,-0.53%,,,,,,
,,,,,,3/1/22,2.16%,,,,,,
,,,,,,4/1/22,1.39%,,,,,,
,,,,,,5/1/22,0.94%,,,,,,
,,,,,,6/1/22,2.23%,,,,,,
,,,,,,7/1/22,2.02%,,,,,,
,,,,,,8/1/22,1.31%,,,,,,
,,,,,,9/1/22,1.06%,,,,,,
,,,,,,10/1/22,1.25%,,,,,,
,,,,,,11/1/22,4.23%,,,,,,
,,,,,,12/1/22,3.30%,,,,,,
,,,,,,1/1/23,1.38%,,,,,,
,,,,,,2/1/23,1.78%,,,,,,
,,,,,,3/1/23,-0.18%,,,,,,
,,,,,,4/1/23,1.46%,,,,,,
,,,,,,5/1/23,3.41%,,,,,,
,,,,,,6/1/23,6.11%,,,,,,
,,,,,,7/1/23,7.62%,,,,,,
,,,,,,8/1/23,7.07%,,,,,,
,,,,,,9/1/23,6.88%,,,,,,
,,,,,,10/1/23,8.37%,,,,,,
,,,,,,11/1/23,6.19%,,,,,,
,,,,,,12/1/23,7.50%,,,,,,
,,,,,,1/1/24,9.75%,,,,,,
,,,,,,2/1/24,10.38%,,,,,,
,,,,,,3/1/24,11.12%,,,,,,
,,,,,,4/1/24,11.90%,,,,,,
,,,,,,5/1/24,12.80%,,,,,,
,,,,,,6/1/24,11.76%,,,,,,
,,,,,,7/1/24,10.65%,,,,,,
,,,,,,8/1/24,13.34%,,,,,,
,,,,,,9/1/24,15.84%,,,,,,
,,,,,,10/1/24,15.57%,,,,,,
,,,,,,11/1/24,15.92%,,,,,,
,,,,,,12/1/24,16.24%,,,,,,
,,,,,,1/1/18,-5.69%,,,,,,
,,,,,,2/1/18,-2.76%,,,,,,
,,,,,,3/1/18,2.78%,,,,,,
,,,,,,4/1/18,2.77%,,,,,,
,,,,,,5/1/18,1.82%,,,,,,
,,,,,,6/1/18,5.01%,,,,,,
,,,,,,7/1/18,5.48%,,,,,,
,,,,,,8/1/18,6.11%,,,,,,
,,,,,,9/1/18,5.74%,,,,,,
,,,,,,10/1/18,10.24%,,,,,,
,,,,,,11/1/18,9.05%,,,,,,
,,,,,,12/1/18,11.64%,,,,,,
,,,,,,1/1/19,14.84%,,,,,,
,,,,,,2/1/19,16.33%,,,,,,
,,,,,,3/1/19,15.61%,,,,,,
,,,,,,4/1/19,17.47%,,,,,,
,,,,,,5/1/19,19.24%,,,,,,
,,,,,,6/1/19,16.96%,,,,,,
,,,,,,7/1/19,18.09%,,,,,,
,,,,,,8/1/19,19.68%,,,,,,
,,,,,,9/1/19,21.61%,,,,,,
,,,,,,10/1/19,17.98%,,,,,,
,,,,,,11/1/19,20.19%,,,,,,
,,,,,,12/1/19,16.79%,,,,,,
,,,,,,1/1/20,14.13%,,,,,,
,,,,,,2/1/20,14.23%,,,,,,
,,,,,,3/1/20,15.62%,,,,,,
,,,,,,4/1/20,15.98%,,,,,,
,,,,,,5/1/20,15.09%,,,,,,
,,,,,,6/1/20,16.93%,,,,,,
,,,,,,7/1/20,16.69%,,,,,,
,,,,,,8/1/20,14.74%,,,,,,
,,,,,,9/1/20,12.96%,,,,,,
,,,,,,10/1/20,11.95%,,,,,,
,,,,,,11/1/20,11.61%,,,,,,
,,,,,,12/1/20,13.43%,,,,,,
,,,,,,1/1/21,13.75%,,,,,,
,,,,,,2/1/21,13.86%,,,,,,
,,,,,,3/1/21,11.66%,,,,,,
,,,,,,4/1/21,9.13%,,,,,,
,,,,,,5/1/21,11.04%,,,,,,
,,,,,,6/1/21,11.44%,,,,,,
,,,,,,7/1/21,9.96%,,,,,,
,,,,,,8/1/21,8.14%,,,,,,
,,,,,,9/1/21,8.86%,,,,,,
,,,,,,10/1/21,9.52%,,,,,,
,,,,,,11/1/21,7.56%,,,,,,
,,,,,,12/1/21,5.27%,,,,,,
,,,,,,1/1/22,7.03%,,,,,,
,,,,,,2/1/22,4.48%,,,,,,
